country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AW,Aruba,,,,,,2020-02-15,2,3,12,26,-2,-2
AW,Aruba,,,,,,2020-02-16,-1,-9,4,1,-1,0
AW,Aruba,,,,,,2020-02-17,-1,-1,16,-4,-20,6
AW,Aruba,,,,,,2020-02-18,-2,-5,8,2,-13,4
AW,Aruba,,,,,,2020-02-19,1,-8,3,4,-14,4
AW,Aruba,,,,,,2020-02-20,4,-1,0,29,-13,1
AW,Aruba,,,,,,2020-02-21,7,9,9,1,-15,1
AW,Aruba,,,,,,2020-02-22,-2,10,-4,13,-6,0
AW,Aruba,,,,,,2020-02-23,14,-15,21,16,-8,-5
AW,Aruba,,,,,,2020-02-24,-23,-30,24,-18,-62,18
AW,Aruba,,,,,,2020-02-25,6,3,8,13,-1,0
AW,Aruba,,,,,,2020-02-26,-1,-1,4,0,0,1
AW,Aruba,,,,,,2020-02-27,-1,2,-1,5,1,0
AW,Aruba,,,,,,2020-02-28,7,6,7,5,6,-3
AW,Aruba,,,,,,2020-02-29,5,13,10,2,4,0
AW,Aruba,,,,,,2020-03-01,8,6,5,3,4,0
AW,Aruba,,,,,,2020-03-02,1,6,2,5,1,1
AW,Aruba,,,,,,2020-03-03,5,2,20,10,1,0
AW,Aruba,,,,,,2020-03-04,3,3,9,5,1,1
AW,Aruba,,,,,,2020-03-05,-1,1,-1,4,2,0
AW,Aruba,,,,,,2020-03-06,3,5,6,6,6,-2
AW,Aruba,,,,,,2020-03-07,3,8,16,0,2,1
AW,Aruba,,,,,,2020-03-08,2,0,4,1,-2,1
AW,Aruba,,,,,,2020-03-09,-1,3,12,0,1,1
AW,Aruba,,,,,,2020-03-10,-2,-1,10,-1,1,1
AW,Aruba,,,,,,2020-03-11,-4,-1,1,1,1,2
AW,Aruba,,,,,,2020-03-12,-10,3,4,1,1,2
AW,Aruba,,,,,,2020-03-13,-10,40,-4,-5,3,1
AW,Aruba,,,,,,2020-03-14,-23,15,-7,-19,-3,7
AW,Aruba,,,,,,2020-03-15,-28,-13,-6,-18,-5,6
AW,Aruba,,,,,,2020-03-16,-28,1,-5,-18,-21,12
AW,Aruba,,,,,,2020-03-17,-38,8,-18,-27,-29,15
AW,Aruba,,,,,,2020-03-18,-65,-59,-24,-49,-74,32
AW,Aruba,,,,,,2020-03-19,-52,-5,-41,-40,-40,21
AW,Aruba,,,,,,2020-03-20,-53,-7,-41,-45,-41,22
AW,Aruba,,,,,,2020-03-21,-62,-19,-52,-54,-40,21
AW,Aruba,,,,,,2020-03-22,-70,-36,-52,-62,-46,
AW,Aruba,,,,,,2020-03-23,-53,-19,-48,-60,-48,24
AW,Aruba,,,,,,2020-03-24,-55,-21,-49,-57,-51,26
AW,Aruba,,,,,,2020-03-25,-57,-20,-56,-60,-53,27
AW,Aruba,,,,,,2020-03-26,-57,-15,-54,-61,-55,27
AW,Aruba,,,,,,2020-03-27,-50,-3,-50,-55,-52,25
AW,Aruba,,,,,,2020-03-28,-49,-3,-50,-60,-51,20
AW,Aruba,,,,,,2020-03-29,-88,-66,-80,-88,-72,
AW,Aruba,,,,,,2020-03-30,-74,-43,-63,-77,-71,35
AW,Aruba,,,,,,2020-03-31,-71,-38,-61,-73,-70,34
AW,Aruba,,,,,,2020-04-01,-70,-36,-62,-71,-69,34
AW,Aruba,,,,,,2020-04-02,-70,-36,-59,-72,-69,35
AW,Aruba,,,,,,2020-04-03,-69,-31,-55,-72,-66,34
AW,Aruba,,,,,,2020-04-04,-71,-32,-57,-78,-64,
AW,Aruba,,,,,,2020-04-05,-76,-50,-51,-77,-64,
AW,Aruba,,,,,,2020-04-06,-66,-31,-47,-72,-66,32
AW,Aruba,,,,,,2020-04-07,-65,-29,-48,-70,-67,31
AW,Aruba,,,,,,2020-04-08,-63,-21,-53,-68,-66,31
AW,Aruba,,,,,,2020-04-09,-62,-11,-48,-66,-66,30
AW,Aruba,,,,,,2020-04-10,-96,-96,-88,-92,-91,
AW,Aruba,,,,,,2020-04-11,-71,-18,-52,-76,-64,
AW,Aruba,,,,,,2020-04-12,-90,-92,-82,-88,-75,
AW,Aruba,,,,,,2020-04-13,-88,-90,-69,-86,-89,
AW,Aruba,,,,,,2020-04-14,-61,-20,-45,-66,-64,29
AW,Aruba,,,,,,2020-04-15,-65,-29,-52,-67,-64,32
AW,Aruba,,,,,,2020-04-16,-66,-31,-48,-68,-63,32
AW,Aruba,,,,,,2020-04-17,-66,-27,-44,-69,-61,32
AW,Aruba,,,,,,2020-04-18,-73,-33,-54,-74,-58,
AW,Aruba,,,,,,2020-04-19,-77,-55,-53,-77,-60,
AW,Aruba,,,,,,2020-04-20,-66,-31,-45,-69,-60,30
AW,Aruba,,,,,,2020-04-21,-68,-36,-47,-67,-61,30
AW,Aruba,,,,,,2020-04-22,-65,-31,-52,-67,-59,30
AW,Aruba,,,,,,2020-04-23,-64,-29,-45,-65,-60,30
AW,Aruba,,,,,,2020-04-24,-61,-19,-44,-64,-57,29
AW,Aruba,,,,,,2020-04-25,-64,-19,-44,-69,-55,23
AW,Aruba,,,,,,2020-04-26,-71,-29,-40,-71,-57,
AW,Aruba,,,,,,2020-04-27,-77,-82,-31,-76,-84,
AW,Aruba,,,,,,2020-04-28,-54,-14,-37,-55,-56,21
AW,Aruba,,,,,,2020-04-29,-54,-17,-42,-54,-56,27
AW,Aruba,,,,,,2020-04-30,-51,-2,-38,-51,-55,25
AW,Aruba,,,,,,2020-05-01,-75,-79,-35,-72,-81,
AW,Aruba,,,,,,2020-05-02,-56,-7,-39,-65,-51,21
AW,Aruba,,,,,,2020-05-03,-65,-33,-35,-68,-50,
AW,Aruba,,,,,,2020-05-04,-46,-15,-29,-57,-49,24
AW,Aruba,,,,,,2020-05-05,-47,-16,-28,-51,-47,24
AW,Aruba,,,,,,2020-05-06,-47,-16,-36,-53,-47,24
AW,Aruba,,,,,,2020-05-07,-49,-16,-35,-53,-46,25
AW,Aruba,,,,,,2020-05-08,-46,-8,-31,-53,-43,23
AW,Aruba,,,,,,2020-05-09,-47,1,-26,-61,-44,19
AW,Aruba,,,,,,2020-05-10,-61,-26,-26,-56,-41,
AW,Aruba,,,,,,2020-05-11,-50,-23,-23,-56,-44,23
AW,Aruba,,,,,,2020-05-12,-50,-21,-28,-53,-43,23
AW,Aruba,,,,,,2020-05-13,-51,-22,-34,-54,-43,24
AW,Aruba,,,,,,2020-05-14,-51,-22,-32,-54,-43,22
AW,Aruba,,,,,,2020-05-15,-51,-16,-29,-55,-40,23
AW,Aruba,,,,,,2020-05-16,-54,-15,-28,-64,-42,19
AW,Aruba,,,,,,2020-05-17,-61,-27,-21,-65,-44,
AW,Aruba,,,,,,2020-05-18,-46,-20,-18,-53,-37,20
AW,Aruba,,,,,,2020-05-19,-46,-19,-26,-54,-36,20
AW,Aruba,,,,,,2020-05-20,-37,0,-30,-50,-38,19
AW,Aruba,,,,,,2020-05-21,-62,-73,-3,-63,-78,31
AW,Aruba,,,,,,2020-05-22,-36,8,-19,-50,-47,21
AW,Aruba,,,,,,2020-05-23,-43,0,-20,-57,-36,15
AW,Aruba,,,,,,2020-05-24,-52,-19,-12,-60,-40,
AW,Aruba,,,,,,2020-05-25,-33,-10,-22,-50,-31,17
AW,Aruba,,,,,,2020-05-26,-35,-12,-28,-48,-29,16
AW,Aruba,,,,,,2020-05-27,-34,-11,-28,-48,-30,17
AW,Aruba,,,,,,2020-05-28,-34,-8,-24,-46,-29,16
AW,Aruba,,,,,,2020-05-29,-28,4,-10,-41,-27,14
AW,Aruba,,,,,,2020-05-30,-29,8,-9,-51,-27,11
AW,Aruba,,,,,,2020-05-31,-40,-8,-9,-51,-30,
AW,Aruba,,,,,,2020-06-01,-26,-7,-18,-48,-26,14
AW,Aruba,,,,,,2020-06-02,-30,-8,-20,-43,-23,13
AW,Aruba,,,,,,2020-06-03,-31,-6,-30,-45,-25,15
AW,Aruba,,,,,,2020-06-04,-32,-8,-23,-47,-24,15
AW,Aruba,,,,,,2020-06-05,-26,-1,-7,-43,-22,12
AW,Aruba,,,,,,2020-06-06,-28,4,-9,-52,-27,11
AW,Aruba,,,,,,2020-06-07,-38,-13,-6,-57,-30,
AW,Aruba,,,,,,2020-06-08,-31,-8,-17,-45,-23,13
AW,Aruba,,,,,,2020-06-09,-33,-12,-20,-46,-22,13
AW,Aruba,,,,,,2020-06-10,-32,-12,-32,-50,-23,15
AW,Aruba,,,,,,2020-06-11,-34,-11,-21,-48,-23,15
AW,Aruba,,,,,,2020-06-12,-25,-3,-8,-47,-21,12
AW,Aruba,,,,,,2020-06-13,-31,-1,-5,-54,-25,12
AW,Aruba,,,,,,2020-06-14,-36,-15,-3,-56,-26,9
AW,Aruba,,,,,,2020-06-15,-33,-11,-14,-46,-21,13
AW,Aruba,,,,,,2020-06-16,-33,-12,-20,-46,-19,12
AW,Aruba,,,,,,2020-06-17,-32,-12,-30,-45,-22,14
AW,Aruba,,,,,,2020-06-18,-34,-12,-24,-50,-21,14
AW,Aruba,,,,,,2020-06-19,-24,0,-8,-44,-20,9
AW,Aruba,,,,,,2020-06-20,-25,8,-4,-50,-24,10
AW,Aruba,,,,,,2020-06-21,-35,-19,-13,-52,-26,6
AW,Aruba,,,,,,2020-06-22,-35,-14,-21,-51,-24,14
AW,Aruba,,,,,,2020-06-23,-28,-9,-25,-48,-21,12
AW,Aruba,,,,,,2020-06-24,-27,-8,-31,-45,-21,13
AW,Aruba,,,,,,2020-06-25,-26,-2,-20,-45,-21,12
AW,Aruba,,,,,,2020-06-26,-15,5,-8,-40,-19,9
AW,Aruba,,,,,,2020-06-27,-21,2,-6,-53,-26,9
AW,Aruba,,,,,,2020-06-28,-26,-8,-10,-52,-27,7
AW,Aruba,,,,,,2020-06-29,-21,-2,-9,-44,-22,11
AW,Aruba,,,,,,2020-06-30,-18,-2,-14,-43,-20,10
AW,Aruba,,,,,,2020-07-01,-18,2,-20,-40,-22,10
AW,Aruba,,,,,,2020-07-02,-22,-2,-15,-44,-22,11
AW,Aruba,,,,,,2020-07-03,-14,7,4,-40,-20,8
AW,Aruba,,,,,,2020-07-04,-21,4,-8,-51,-23,8
AW,Aruba,,,,,,2020-07-05,-24,-10,2,-49,-26,6
AW,Aruba,,,,,,2020-07-06,-22,-2,-10,-41,-23,11
AW,Aruba,,,,,,2020-07-07,-26,-7,-21,-45,-22,12
AW,Aruba,,,,,,2020-07-08,-22,-6,-20,-38,-22,11
AW,Aruba,,,,,,2020-07-09,-24,-5,-16,-42,-21,11
AW,Aruba,,,,,,2020-07-10,-17,-3,4,-34,-21,9
AW,Aruba,,,,,,2020-07-11,-23,2,-3,-42,-20,8
AW,Aruba,,,,,,2020-07-12,-30,-18,-10,-47,-26,7
AW,Aruba,,,,,,2020-07-13,-25,-6,1,-35,-27,11
AW,Aruba,,,,,,2020-07-14,-26,-9,-7,-37,-26,12
AW,Aruba,,,,,,2020-07-15,-23,-9,-11,-36,-26,12
AW,Aruba,,,,,,2020-07-16,-25,-11,-10,-38,-27,12
AW,Aruba,,,,,,2020-07-17,-18,-3,1,-32,-25,10
AW,Aruba,,,,,,2020-07-18,-22,-3,1,-42,-19,8
AW,Aruba,,,,,,2020-07-19,-24,-14,6,-44,-22,5
AW,Aruba,,,,,,2020-07-20,-22,-6,8,-34,-30,11
AW,Aruba,,,,,,2020-07-21,-22,-9,-2,-37,-28,11
AW,Aruba,,,,,,2020-07-22,-21,-7,-8,-34,-26,11
AW,Aruba,,,,,,2020-07-23,-19,-6,-4,-38,-27,11
AW,Aruba,,,,,,2020-07-24,-13,5,8,-33,-25,9
AW,Aruba,,,,,,2020-07-25,-26,-5,-20,-47,-21,10
AW,Aruba,,,,,,2020-07-26,-29,-13,-14,-47,-22,7
AW,Aruba,,,,,,2020-07-27,-15,-1,9,-31,-29,11
AW,Aruba,,,,,,2020-07-28,-15,-4,0,-35,-27,10
AW,Aruba,,,,,,2020-07-29,-16,-5,-8,-34,-28,10
AW,Aruba,,,,,,2020-07-30,-17,-5,-2,-36,-28,9
AW,Aruba,,,,,,2020-07-31,-10,6,11,-26,-25,7
AW,Aruba,,,,,,2020-08-01,-12,10,8,-33,-18,4
AW,Aruba,,,,,,2020-08-02,-17,-5,12,-29,-19,3
AW,Aruba,,,,,,2020-08-03,-13,0,11,-30,-29,10
AW,Aruba,,,,,,2020-08-04,-19,0,-1,-36,-27,11
AW,Aruba,,,,,,2020-08-05,-25,2,-12,-36,-30,13
AW,Aruba,,,,,,2020-08-06,-32,-2,-18,-44,-32,15
AW,Aruba,,,,,,2020-08-07,-35,-2,-16,-42,-32,16
AW,Aruba,,,,,,2020-08-08,-41,-4,-24,-51,-24,14
AW,Aruba,,,,,,2020-08-09,-45,-20,-19,-52,-27,
AW,Aruba,,,,,,2020-08-10,-33,-7,-10,-43,-33,16
AW,Aruba,,,,,,2020-08-11,-33,-10,-14,-41,-32,16
AW,Aruba,,,,,,2020-08-12,-35,-10,-20,-41,-32,17
AW,Aruba,,,,,,2020-08-13,-35,-11,-15,-40,-32,16
AW,Aruba,,,,,,2020-08-14,-33,-8,-10,-39,-29,15
AW,Aruba,,,,,,2020-08-15,-35,-5,-13,-47,-21,13
AW,Aruba,,,,,,2020-08-16,-41,-20,-11,-51,-24,10
AW,Aruba,,,,,,2020-08-17,-29,-11,0,-42,-30,14
AW,Aruba,,,,,,2020-08-18,-36,-16,-19,-45,-28,16
AW,Aruba,,,,,,2020-08-19,-35,-16,-18,-44,-30,16
AW,Aruba,,,,,,2020-08-20,-34,-15,-12,-46,-28,15
AW,Aruba,,,,,,2020-08-21,-25,-1,-6,-40,-24,13
AW,Aruba,,,,,,2020-08-22,-31,-1,-15,-49,-21,11
AW,Aruba,,,,,,2020-08-23,-36,-15,-4,-52,-23,9
AW,Aruba,,,,,,2020-08-24,-26,-8,-2,-42,-26,13
AW,Aruba,,,,,,2020-08-25,-25,-8,-6,-45,-26,13
AW,Aruba,,,,,,2020-08-26,-27,-8,-14,-43,-26,14
AW,Aruba,,,,,,2020-08-27,-27,-11,-14,-49,-26,13
AW,Aruba,,,,,,2020-08-28,-24,-2,-7,-43,-25,12
