"Date","Cumulative cases","New cases"
"21.02.2020",1,1
"22.02.2020",1,0
"23.02.2020",1,0
"24.02.2020",1,0
"25.02.2020",1,0
"26.02.2020",4,3
"27.02.2020",6,2
"28.02.2020",15,9
"29.02.2020",21,6
"01.03.2020",31,10
"02.03.2020",43,12
"03.03.2020",74,31
"04.03.2020",106,32
"05.03.2020",139,33
"06.03.2020",164,25
"07.03.2020",184,20
"08.03.2020",248,64
"09.03.2020",495,247
"10.03.2020",736,241
"11.03.2020",910,174
"12.03.2020",1116,206
"13.03.2020",1263,147
"14.03.2020",1363,100
"15.03.2020",1465,102
"16.03.2020",1645,180
"17.03.2020",1820,175
"18.03.2020",2033,213
"19.03.2020",2273,240
"20.03.2020",2581,308
"21.03.2020",2755,174
"22.03.2020",2903,148
"23.03.2020",3202,299
"24.03.2020",3515,313
"25.03.2020",3807,292
"26.03.2020",4104,297
"27.03.2020",4365,261
"28.03.2020",4546,181
"29.03.2020",4653,107
"30.03.2020",4917,264
"31.03.2020",5125,208
"01.04.2020",5326,201
"02.04.2020",5526,200
"03.04.2020",5692,166
"04.04.2020",5779,87
"05.04.2020",5850,71
"06.04.2020",6009,159
"07.04.2020",6146,137
"08.04.2020",6252,106
"09.04.2020",6355,103
"10.04.2020",6423,68
"11.04.2020",6531,108
"12.04.2020",6607,76
"13.04.2020",6684,77
"14.04.2020",6806,122
"15.04.2020",6910,104
"16.04.2020",6990,80
"17.04.2020",7098,108
"18.04.2020",7147,49
"19.04.2020",7183,36
"20.04.2020",7268,85
"21.04.2020",7346,78
"22.04.2020",7423,77
"23.04.2020",7492,69
"24.04.2020",7546,54
"25.04.2020",7571,25
"26.04.2020",7607,36
"27.04.2020",7678,71
"28.04.2020",7728,50
"29.04.2020",7767,39
"30.04.2020",7806,39
"01.05.2020",7848,42
"02.05.2020",7871,23
"03.05.2020",7915,44
"04.05.2020",7960,45
"05.05.2020",8001,41
"06.05.2020",8040,39
"07.05.2020",8069,29
"08.05.2020",8110,41
"09.05.2020",8121,11
"10.05.2020",8133,12
"11.05.2020",8156,23
"12.05.2020",8175,19
"13.05.2020",8194,19
"14.05.2020",8217,23
"15.05.2020",8238,21
"16.05.2020",8251,13
"17.05.2020",8254,3
"18.05.2020",8271,17
"19.05.2020",8291,20
"20.05.2020",8310,19
"21.05.2020",8324,14
"22.05.2020",8350,26
"23.05.2020",8355,5
"24.05.2020",8361,6
"25.05.2020",8379,18
"26.05.2020",8391,12
"27.05.2020",8409,18
"28.05.2020",8424,15
"29.05.2020",8440,16
"30.05.2020",8440,0
"31.05.2020",8446,6
"01.06.2020",8453,7
"02.06.2020",8484,31
"03.06.2020",8496,12
"04.06.2020",8513,17
"05.06.2020",8543,30
"06.06.2020",8552,9
"07.06.2020",8561,9
"08.06.2020",8579,18
"09.06.2020",8592,13
"10.06.2020",8606,14
"11.06.2020",8617,11
"12.06.2020",8630,13
"13.06.2020",8637,7
"14.06.2020",8643,6
"15.06.2020",8661,18
"16.06.2020",8697,36
"17.06.2020",8712,15
"18.06.2020",8725,13
"19.06.2020",8738,13
"20.06.2020",8743,5
"21.06.2020",8745,2