"Date","Negative","Positive","Percent"
"23.02.2020",12,0,0
"24.02.2020",62,0,0
"25.02.2020",146,2,1.4
"26.02.2020",247,2,0.8
"27.02.2020",287,3,1
"28.02.2020",203,6,2.9
"29.02.2020",230,5,2.1
"01.03.2020",383,8,2
"02.03.2020",360,20,5.3
"03.03.2020",326,15,4.4
"04.03.2020",356,18,4.8
"05.03.2020",340,25,6.8
"06.03.2020",296,19,6
"07.03.2020",358,50,12.3
"08.03.2020",1231,253,17
"09.03.2020",1493,193,11.4
"10.03.2020",1937,148,7.1
"11.03.2020",2840,177,5.9
"12.03.2020",3902,152,3.7
"13.03.2020",2672,89,3.2
"14.03.2020",2794,76,2.6
"15.03.2020",6131,132,2.1
"16.03.2020",6433,153,2.3
"17.03.2020",6641,186,2.7
"18.03.2020",5779,204,3.4
"19.03.2020",4856,263,5.1
"20.03.2020",2324,183,7.3
"21.03.2020",1156,132,10.2
"22.03.2020",3312,252,7.1
"23.03.2020",3244,284,8
"24.03.2020",3093,251,7.5
"25.03.2020",2915,270,8.5
"26.03.2020",3031,260,7.9
"27.03.2020",1623,178,9.9
"28.03.2020",1117,126,10.1
"29.03.2020",2931,241,7.6
"30.03.2020",3200,246,7.1
"31.03.2020",3510,207,5.6
"01.04.2020",3108,199,6
"02.04.2020",3151,177,5.3
"03.04.2020",1223,91,6.9
"04.04.2020",977,73,7
"05.04.2020",3103,164,5
"06.04.2020",2596,151,5.5
"07.04.2020",1980,108,5.2
"08.04.2020",1107,105,8.7
"09.04.2020",1167,70,5.7
"10.04.2020",1191,110,8.5
"11.04.2020",1055,75,6.6
"12.04.2020",1084,78,6.7
"13.04.2020",2847,126,4.2
"14.04.2020",2934,110,3.6
"15.04.2020",2685,83,3
"16.04.2020",2687,113,4
"17.04.2020",987,50,4.8
"18.04.2020",987,35,3.4
"19.04.2020",3290,88,2.6
"20.04.2020",3176,81,2.5
"21.04.2020",2902,76,2.6
"22.04.2020",2565,71,2.7
"23.04.2020",2856,55,1.9
"24.04.2020",960,25,2.5
"25.04.2020",814,37,4.3
"26.04.2020",3569,71,2
"27.04.2020",3599,51,1.4
"28.04.2020",3433,42,1.2
"29.04.2020",3943,39,1
"30.04.2020",1274,42,3.2
"01.05.2020",1349,23,1.7
"02.05.2020",1062,43,3.9
"03.05.2020",4192,45,1.1
"04.05.2020",3847,47,1.2
"05.05.2020",3781,41,1.1
"06.05.2020",3356,31,0.9
"07.05.2020",3358,43,1.3
"08.05.2020",1151,11,0.9
"09.05.2020",837,12,1.4
"10.05.2020",3921,24,0.6
"11.05.2020",3807,19,0.5
"12.05.2020",3645,19,0.5
"13.05.2020",3723,23,0.6
"14.05.2020",3704,22,0.6
"15.05.2020",1119,13,1.1
"16.05.2020",555,4,0.7
"17.05.2020",3915,19,0.5
"18.05.2020",3803,20,0.5
"19.05.2020",3509,19,0.5
"20.05.2020",962,14,1.4
"21.05.2020",2913,26,0.9
"22.05.2020",863,6,0.7
"23.05.2020",732,6,0.8
"24.05.2020",3538,18,0.5
"25.05.2020",2982,12,0.4
"26.05.2020",2796,18,0.6
"27.05.2020",2441,17,0.7
"28.05.2020",2223,16,0.7
"29.05.2020",669,0,0
"30.05.2020",503,6,1.2
"31.05.2020",597,7,1.2
"01.06.2020",2757,32,1.1
"02.06.2020",2474,13,0.5
"03.06.2020",2525,17,0.7
"04.06.2020",2489,30,1.2
"05.06.2020",787,9,1.1
"06.06.2020",755,9,1.2
"07.06.2020",5207,19,0.4
"08.06.2020",4794,12,0.2
"09.06.2020",4046,15,0.4
"10.06.2020",4355,11,0.3
"11.06.2020",4109,13,0.3
"12.06.2020",1051,7,0.7
"13.06.2020",965,7,0.7
"14.06.2020",5165,18,0.3
"15.06.2020",4853,36,0.7
"16.06.2020",4425,15,0.3
"17.06.2020",3625,13,0.4
"18.06.2020",2470,13,0.5
"19.06.2020",585,5,0.8
"20.06.2020",302,2,0.7