wikidata_id,region_code
Q2522163,AD-07
Q382132,AZ-SAB
Q9337,BE-VLG
Q21713445,BS-MI
Q1859950,BS-RC
Q6702952,CD-KC
Q21003689,CI-ZZ
Q2189,CL-MA
Q1208,DE-BB
Q18914778,FR-69
Q43475,GB-DER
Q128147,GB-KHL
Q84,GB-LND
Q23169,GB-OXF
Q161491,GB-RDG
Q203995,GB-SOS
Q1541228,GB-STY
Q171132,GR-82
Q22807284,GR-E
Q23048167,MA-02
Q19951027,MA-03
Q19951239,MA-04
Q19953016,MA-05
Q19843788,MA-06
Q19951125,MA-07
Q19950954,MA-08
Q20652586,MA-09
Q19951051,MA-10
Q19951088,MA-11
Q21235104,MA-12
Q13365871,MA-MMD
Q13365870,MA-MMN
Q12228329,MA-SYB
Q29017181,MD-BA
Q17176229,MD-CU
Q3317366,ME-08
Q2575820,MK-85
Q3859,RW-01
Q13378373,SI-033
Q12042076,SI-040
Q3435496,SI-044
Q15283322,SI-049
Q3441893,SI-052
Q587328,SI-059
Q3434113,SI-061
Q3441856,SI-073
Q999584,SI-076
Q3435478,SI-084
Q924698,SI-086
Q565170,SI-090
Q3441808,SI-096
Q15913,SI-106
Q11211457,SI-113
Q13378155,SI-114
Q13378288,SI-137
Q13378292,SI-138
Q990063,SI-181
Q773160,SI-186
Q13378299,SI-189
Q3441796,SI-202
Q423528,TO-01
Q10293470,TO-02
Q10389402,TO-05
Q475219,TV-NIT
Q7525,UA-40
Q16594,UY-MO