country_iso_3,region_level,iso_3166-2,region_name,source_region_code,population,region_code,imhe_lockdown_name,parent_region_code,region_code_type,region_code_level,level_1_region_code,level_2_region_code,level_3_region_code
USA,state,US-AL,Alabama,AL,4903185,US-AL,Alabama,USA,iso_3166-2,2,USA,US-AL,None
USA,state,US-AK,Alaska,AK,731545,US-AK,Alaska,USA,iso_3166-2,2,USA,US-AK,None
USA,state,US-AS,American Samoa,AS,55641,US-AS,,USA,iso_3166-2,2,USA,US-AS,None
USA,state,US-AZ,Arizona,AZ,7278717,US-AZ,Arizona,USA,iso_3166-2,2,USA,US-AZ,None
USA,state,US-AR,Arkansas,AR,3017825,US-AR,Arkansas,USA,iso_3166-2,2,USA,US-AR,None
USA,state,US-CA,California,CA,39512223,US-CA,California,USA,iso_3166-2,2,USA,US-CA,None
USA,state,US-CO,Colorado,CO,5758736,US-CO,Colorado,USA,iso_3166-2,2,USA,US-CO,None
USA,state,US-CT,Connecticut,CT,3565287,US-CT,Connecticut,USA,iso_3166-2,2,USA,US-CT,None
USA,state,US-DE,Delaware,DE,973764,US-DE,Delaware,USA,iso_3166-2,2,USA,US-DE,None
USA,state,US-DC,District of Columbia,DC,705749,US-DC,District of Columbia,USA,iso_3166-2,2,USA,US-DC,None
USA,state,US-FL,Florida,FL,21477737,US-FL,Florida,USA,iso_3166-2,2,USA,US-FL,None
USA,state,US-GA,Georgia,GA,10617423,US-GA,Georgia,USA,iso_3166-2,2,USA,US-GA,None
USA,state,US-GU,Guam,GU,165718,US-GU,,USA,iso_3166-2,2,USA,US-GU,None
USA,state,US-HI,Hawaii,HI,1415872,US-HI,Hawaii,USA,iso_3166-2,2,USA,US-HI,None
USA,state,US-ID,Idaho,ID,1787065,US-ID,Idaho,USA,iso_3166-2,2,USA,US-ID,None
USA,state,US-IL,Illinois,IL,12671821,US-IL,Illinois,USA,iso_3166-2,2,USA,US-IL,None
USA,state,US-IN,Indiana,IN,6732219,US-IN,Indiana,USA,iso_3166-2,2,USA,US-IN,None
USA,state,US-IA,Iowa,IA,3155070,US-IA,Iowa,USA,iso_3166-2,2,USA,US-IA,None
USA,state,US-KS,Kansas,KS,2913314,US-KS,Kansas,USA,iso_3166-2,2,USA,US-KS,None
USA,state,US-KY,Kentucky,KY,4467673,US-KY,Kentucky,USA,iso_3166-2,2,USA,US-KY,None
USA,state,US-LA,Louisiana,LA,4648794,US-LA,Louisiana,USA,iso_3166-2,2,USA,US-LA,None
USA,state,US-ME,Maine,ME,1344212,US-ME,Maine,USA,iso_3166-2,2,USA,US-ME,None
USA,state,US-MD,Maryland,MD,6045680,US-MD,Maryland,USA,iso_3166-2,2,USA,US-MD,None
USA,state,US-MA,Massachusetts,MA,6949503,US-MA,Massachusetts,USA,iso_3166-2,2,USA,US-MA,None
USA,state,US-MI,Michigan,MI,9986857,US-MI,Michigan,USA,iso_3166-2,2,USA,US-MI,None
USA,state,US-MN,Minnesota,MN,5639632,US-MN,Minnesota,USA,iso_3166-2,2,USA,US-MN,None
USA,state,US-MS,Mississippi,MS,2976149,US-MS,Mississippi,USA,iso_3166-2,2,USA,US-MS,None
USA,state,US-MO,Missouri,MO,6137428,US-MO,Missouri,USA,iso_3166-2,2,USA,US-MO,None
USA,state,US-MT,Montana,MT,1068778,US-MT,Montana,USA,iso_3166-2,2,USA,US-MT,None
USA,state,US-NE,Nebraska,NE,1934408,US-NE,Nebraska,USA,iso_3166-2,2,USA,US-NE,None
USA,state,US-NV,Nevada,NV,3080156,US-NV,Nevada,USA,iso_3166-2,2,USA,US-NV,None
USA,state,US-NH,New Hampshire,NH,1359711,US-NH,New Hampshire,USA,iso_3166-2,2,USA,US-NH,None
USA,state,US-NJ,New Jersey,NJ,8882190,US-NJ,New Jersey,USA,iso_3166-2,2,USA,US-NJ,None
USA,state,US-NM,New Mexico,NM,2096829,US-NM,New Mexico,USA,iso_3166-2,2,USA,US-NM,None
USA,state,US-NY,New York,NY,19453561,US-NY,New York,USA,iso_3166-2,2,USA,US-NY,None
USA,state,US-NC,North Carolina,NC,10488084,US-NC,North Carolina,USA,iso_3166-2,2,USA,US-NC,None
USA,state,US-ND,North Dakota,ND,762062,US-ND,North Dakota,USA,iso_3166-2,2,USA,US-ND,None
USA,state,US-MP,Northern Mariana Islands,MP,55194,US-MP,,USA,iso_3166-2,2,USA,US-MP,None
USA,state,US-OH,Ohio,OH,11689100,US-OH,Ohio,USA,iso_3166-2,2,USA,US-OH,None
USA,state,US-OK,Oklahoma,OK,3956971,US-OK,Oklahoma,USA,iso_3166-2,2,USA,US-OK,None
USA,state,US-OR,Oregon,OR,4217737,US-OR,Oregon,USA,iso_3166-2,2,USA,US-OR,None
USA,state,US-PA,Pennsylvania,PA,12801989,US-PA,Pennsylvania,USA,iso_3166-2,2,USA,US-PA,None
USA,state,US-PR,Puerto Rico,PR,3193694,US-PR,,USA,iso_3166-2,2,USA,US-PR,None
USA,state,US-RI,Rhode Island,RI,1059361,US-RI,Rhode Island,USA,iso_3166-2,2,USA,US-RI,None
USA,state,US-SC,South Carolina,SC,5148714,US-SC,South Carolina,USA,iso_3166-2,2,USA,US-SC,None
USA,state,US-SD,South Dakota,SD,884659,US-SD,South Dakota,USA,iso_3166-2,2,USA,US-SD,None
USA,state,US-TN,Tennessee,TN,6833174,US-TN,Tennessee,USA,iso_3166-2,2,USA,US-TN,None
USA,state,US-TX,Texas,TX,28995881,US-TX,Texas,USA,iso_3166-2,2,USA,US-TX,None
USA,state,US-UM,United States Minor Outlying Islands,UM,300,US-UM,,USA,iso_3166-2,2,USA,US-UM,None
USA,state,US-UT,Utah,UT,3205958,US-UT,Utah,USA,iso_3166-2,2,USA,US-UT,None
USA,state,US-VT,Vermont,VT,623989,US-VT,Vermont,USA,iso_3166-2,2,USA,US-VT,None
USA,state,US-VI,United States Virgin Islands,VI,104914,US-VI,,USA,iso_3166-2,2,USA,US-VI,None
USA,state,US-VA,Virginia,VA,8535519,US-VA,Virginia,USA,iso_3166-2,2,USA,US-VA,None
USA,state,US-WA,Washington,WA,7614893,US-WA,Washington,USA,iso_3166-2,2,USA,US-WA,None
USA,state,US-WV,West Virginia,WV,1792147,US-WV,West Virginia,USA,iso_3166-2,2,USA,US-WV,None
USA,state,US-WI,Wisconsin,WI,5822434,US-WI,Wisconsin,USA,iso_3166-2,2,USA,US-WI,None
USA,state,US-WY,Wyoming,WY,578759,US-WY,Wyoming,USA,iso_3166-2,2,USA,US-WY,None